velo_e	velo_d	v_e_lib	v_d_lib
167.143	167.143	374	359	2.89202
209.5	209.5	380	364	2.91111
152.587	228.88	382	365	2.92422
134.225	134.225	388	371	2.93912
207.077	207.077	386	370	2.95361
197.539	131.692	379	365	2.96879
117.26	117.26	375	366	2.98585
149.543	149.543	374	372	2.99922
152.281	152.281	376	372	3.01236
166.983	166.983	364	370	3.03032
168.127	168.127	361	371	3.04222
133.053	133.053	354	369	3.05725
203.769	135.846	362	367	3.07197
130.672	130.672	364	375	3.08728
134.239	201.358	362	372	3.10218
141.955	141.955	363	374	3.11627
130.638	195.957	360	371	3.13158
138.078	138.078	364	366	3.14606
140.125	140.125	375	369	3.16033
91.2336	91.2336	375	369	3.18226
302.586	201.724	368	372	3.19217
315.04	189.024	370	363	3.20804
194.653	194.653	367	366	3.21832
225.583	112.792	348	360	3.23605
164.018	164.018	354	283	3.24824
277.204	277.204	359	364	3.25906
227.201	151.468	350	365	3.27227
199.62	133.08	358	360	3.2873
136.437	204.656	351	361	3.30196
224.644	149.763	352	354	3.31531
153.466	153.466	356	349	3.32834
133.49	133.49	358	348	3.34332
128.522	192.783	358	343	3.35889
165.975	110.65	356	342	3.37696
164.094	164.094	360	345	3.38915
198.03	132.02	366	271	3.4043
133.507	133.507	364	335	3.41928
135.771	203.657	365	346	3.43401
132.664	198.996	367	347	3.44909
137.494	137.494	359	341	3.46363
129.561	129.561	363	353	3.47907
131.086	196.629	357	364	3.49433
134.04	134.04	361	364	3.50925
132.821	199.231	350	359	3.5243
187.924	125.283	349	365	3.54027
200.072	133.381	362	365	3.55526
210.357	105.178	364	366	3.57428
167.576	167.576	354	366	3.58621
128.375	128.375	371	370	3.60179
139.868	139.868	377	364	3.61609
198.508	198.508	375	363	3.6312
133.543	133.543	373	359	3.64618
129.765	194.648	381	370	3.66159
206.563	137.709	383	366	3.67612
187.313	124.875	373	370	3.69213
142.601	142.601	363	371	3.70616
129.5	194.25	365	373	3.7216
134.425	134.425	369	372	3.73648
131.087	131.087	360	371	3.75174
213.942	213.942	366	363	3.77043
131.318	196.977	369	367	3.78566
221.562	147.708	371	370	3.7992
232.132	154.755	369	367	3.81213
163.963	163.963	368	359	3.82433
126.826	126.826	376	363	3.8401
131.841	131.841	369	361	3.85527
135.212	135.212	366	359	3.87006
208.427	138.951	363	353	3.88445
128.183	128.183	357	354	3.90005
133.592	133.592	356	360	3.91502
134.161	201.242	355	358	3.92993
137.298	137.298	355	363	3.9445
196.556	131.037	359	353	3.95976
115.222	115.222	353	357	3.97712
200.528	200.528	359	361	3.99208
162.752	162.752	363	357	4.01051
170.78	256.17	356	357	4.02222
134.793	134.793	354	365	4.03706
125.784	188.677	357	363	4.05296
130.365	130.365	363	359	4.0683
215.373	143.582	362	361	4.08223
132.398	132.398	361	369	4.09734
136.644	136.644	365	371	4.11197
82.68	82.68	361	370	4.13616
126.448	126.448	366	364	4.15198
217.368	217.368	365	358	4.17038
130.284	130.284	366	358	4.18573
158.464	237.696	371	355	4.19835
232.743	155.162	373	360	4.21124
229.536	153.024	365	353	4.22431
133.576	133.576	363	360	4.23929
97.0367	145.555	353	363	4.2599
190.043	253.391	356	361	4.27568
149.64	149.64	350	365	4.28905
131.034	131.034	351	356	4.30431
130.737	87.1582	348	356	4.32726
213.783	142.522	349	359	4.34129
127.18	190.77	349	362	4.35702
262.076	262.076	355	360	4.37991
200.746	301.119	353	362	4.38987
286.154	286.154	357	358	4.40036
134.04	134.04	360	355	4.41528
134.822	134.822	359	352	4.43011
131.901	197.851	364	357	4.44528
187.708	125.138	362	358	4.46126
135.66	135.66	356	356	4.476
132.791	132.791	355	362	4.49106
160.698	160.698	365	288	4.50973
241.421	160.948	356	365	4.52216
131.898	197.847	358	367	4.53732
135.589	135.589	359	364	4.55207
218.382	218.382	358	360	4.57039
130.725	130.725	360	358	4.58569
235.976	235.976	360	358	4.5984
146.654	146.654	362	354	4.61204
162.766	162.766	364	348	4.62433
134.278	134.278	371	352	4.63922
135.856	135.856	372	355	4.65394
131.419	197.129	367	353	4.66916
198.298	132.199	370	356	4.68429
133.492	200.238	367	358	4.69927
126.495	126.495	368	372	4.71508
201.006	134.004	372	373	4.73001
131.634	197.451	375	375	4.7452
125.266	187.9	368	370	4.76117
135.394	135.394	361	366	4.78332
159.921	159.921	365	362	4.79583
187.997	125.331	368	358	4.81179
139.633	139.633	365	355	4.82611
140.318	140.318	369	352	4.84036
192.34	128.226	372	354	4.85596
130.998	130.998	372	348	4.87123
134.648	134.648	363	351	4.88608
133.107	199.661	289	345	4.90111
133.266	133.266	371	348	4.91612
199.592	133.061	371	350	4.93115
134.693	134.693	373	356	4.946
137.937	137.937	370	351	4.96049
91.866	91.866	366	359	4.98227
203.023	203.023	287	359	4.99212
202.535	135.023	361	363	5.00693
154.502	154.502	361	363	5.01987
207.619	138.413	360	368	5.03432
201.07	134.047	358	371	5.04924
158.444	158.444	359	371	5.06818
168.799	168.799	365	364	5.08003
138.257	207.385	366	377	5.09449
130.818	130.818	371	382	5.10978
123.033	123.033	368	371	5.12604
138.703	138.703	376	374	5.14046
134.821	134.821	370	363	5.15529
102.202	102.202	364	365	5.17486
246.708	246.708	371	366	5.18702
133.332	133.332	372	368	5.20202
108.155	162.233	356	369	5.22051
170.879	170.879	286	366	5.23222
199.434	199.434	369	368	5.24726
135.34	135.34	361	366	5.26204
141.449	141.449	359	367	5.27617
194.819	129.879	362	366	5.29157
137.795	137.795	363	363	5.30609
187.007	124.672	360	357	5.32213
134.217	201.326	354	361	5.33703
135.877	135.877	355	360	5.35175
214.651	160.988	349	355	5.37039
129.916	129.916	342	344	5.38578
150.145	150.145	339	269	5.3991
134.254	134.254	318	325	5.414
91.2619	91.2619	331	325	5.43591
162.825	162.825	349	347	5.4482
195.36	195.36	363	359	5.45843
144.36	216.54	365	364	5.47229
146.685	220.027	361	370	5.48592
162.222	162.222	364	367	5.49825
279.955	186.636	361	369	5.50897
151.012	151.012	360	369	5.52221
248.527	165.684	362	368	5.53428
133.525	133.525	365	365	5.54926
213.753	142.502	374	362	5.5633
91.6749	91.6749	379	362	5.58511
142.453	142.453	382	362	5.59915
138.352	138.352	378	362	5.61361
127.733	191.6	375	360	5.62927
213.341	142.227	374	363	5.64333
192.137	128.091	375	359	5.65894
224.557	149.705	367	359	5.6723
123.047	184.57	367	360	5.68855
146.123	146.123	371	362	5.70224
135.344	135.344	290	372	5.71702
131.882	131.882	357	368	5.73218
142.502	142.502	358	364	5.74622
133.211	133.211	357	357	5.76123
136.638	91.0918	355	351	5.78319
124.456	248.911	361	355	5.79926
248.999	165.999	360	349	5.81131
135.818	135.818	371	354	5.82603
199.249	132.833	364	359	5.84109
134.026	134.026	368	357	5.85601
199.154	132.769	376	354	5.87108
132.994	199.491	374	348	5.88611
132.456	132.456	372	353	5.90121
134.166	134.166	366	358	5.91612
126.338	126.338	367	353	5.93195
140.732	140.732	362	363	5.94616
134.13	134.13	358	364	5.96107
90.8927	90.8927	365	361	5.98308
153.943	153.943	359	364	5.99607
127.372	127.372	370	366	6.01177
130.561	195.842	362	366	6.02709
134.334	134.334	358	369	6.04198
209.967	139.978	365	371	6.05626
133.545	133.545	368	374	6.07124
132.85	199.274	369	377	6.0863
133.938	133.938	371	378	6.10123
202.142	134.761	370	371	6.11607
132.018	198.027	376	373	6.13122
134.995	134.995	364	367	6.14603
133.274	133.274	362	357	6.16104
140.133	140.133	359	358	6.18245
183.627	183.627	364	361	6.19334
127.244	190.866	361	366	6.20906
123.031	184.547	360	368	6.22531
122.844	184.266	364	367	6.2416
205.938	137.292	363	359	6.25616
199.723	199.723	357	364	6.27118
159.232	159.232	357	370	6.29002
166.453	166.453	354	363	6.30204
141.691	141.691	351	360	6.31615
123.788	185.682	348	357	6.33231
134.345	134.345	347	349	6.3472
135.437	135.437	351	349	6.36197
94.7583	94.7583	354	347	6.38307
155.195	155.195	348	351	6.39596
153.192	153.192	350	351	6.40901
144.169	144.169	349	347	6.42289
129.488	129.488	274	355	6.43833
142.56	142.56	354	357	6.45236
134.049	134.049	354	360	6.46728
135.834	135.834	354	364	6.48201
130.845	130.845	349	360	6.49729
203.05	203.05	350	362	6.51207
223.724	111.862	350	364	6.52994
206.705	137.803	350	365	6.54446
172.167	172.167	358	353	6.55607
234.111	156.074	359	363	6.56889
285.615	285.615	358	279	6.58289
183.411	183.411	373	369	6.59925
183.895	183.895	285	358	6.61556
220.938	147.292	373	350	6.62914
231.297	154.198	377	355	6.64211
143.571	143.571	374	352	6.65604
199.108	132.739	372	355	6.67111
124.829	187.243	369	351	6.68713
136.546	136.546	367	350	6.70178
139.365	139.365	372	359	6.71613
198.523	198.523	362	386	6.73124
186.637	124.425	374	375	6.74732
136.771	136.771	373	370	6.76194
94.5923	94.5923	369	371	6.78308
151.6	151.6	378	368	6.79628
154.506	154.506	369	362	6.80922
139.39	209.084	372	359	6.82357
186.272	124.181	371	355	6.83967
135.583	203.374	366	359	6.85442
203.701	135.8	366	352	6.86915
141.859	141.859	366	349	6.88325
126.079	126.079	373	349	6.89911
140.572	210.858	373	351	6.91334
126.873	126.873	367	354	6.9291
140.988	140.988	364	362	6.94329
190.102	126.735	361	367	6.95907
113.665	113.665	365	368	6.97667
206.584	206.584	363	368	6.99119
133.966	133.966	363	362	7.00612
133.534	200.301	360	362	7.0211
134.51	134.51	356	366	7.03596
124.779	124.779	355	363	7.05199
209.748	139.832	363	365	7.0663
133.839	133.839	360	362	7.08124
134.738	134.738	360	366	7.09608
140.442	140.442	364	369	7.11032
129.914	194.871	367	364	7.12572
137.521	137.521	361	367	7.14026
129.145	129.145	359	366	7.15575
104.647	156.971	362	359	7.17486
180.597	270.895	356	357	7.18593
137.209	137.209	355	362	7.20051
134.917	134.917	359	356	7.21533
203.415	203.415	364	368	7.23008
132.062	132.062	279	358	7.24523
