velo_e	velo_d	v_e_lib	v_d_lib
150.296	225.445	358	355	12.399
139.552	139.552	357	353	12.4133
127.07	127.07	352	364	12.4291
137.226	137.226	358	369	12.4436
129.134	129.134	271	367	12.4591
141.316	211.974	352	365	12.4733
126.809	126.809	357	364	12.489
137.399	206.099	357	362	12.5036
128.894	128.894	348	361	12.5191
137.6	137.6	358	282	12.5337
129.506	129.506	336	335	12.5491
236.377	196.981	327	255	12.5745
169.825	169.825	334	327	12.5863
133.775	133.775	350	336	12.6012
136.046	136.046	368	335	12.6159
138.691	138.691	374	341	12.6303
130.283	130.283	381	349	12.6457
136.982	136.982	390	363	12.6603
129.389	129.389	398	369	12.6757
123.587	123.587	382	371	12.6919
140.46	140.46	390	375	12.7062
129.129	129.129	374	376	12.7216
162.669	162.669	380	379	12.7401
251.872	251.872	386	380	12.752
163.148	217.531	380	377	12.7704
130.619	130.619	379	381	12.7857
150.643	150.643	371	375	12.799
136.86	205.291	364	368	12.8136
204.398	204.398	364	368	12.8332
155.761	155.761	366	370	12.846
131.93	131.93	368	370	12.8612
133.267	133.267	372	367	12.8762
125.978	125.978	368	364	12.892
141.387	141.387	370	363	12.9062
129.617	129.617	371	369	12.9216
137.491	137.491	381	363	12.9362
132.153	132.153	368	358	12.9513
213.622	213.622	365	363	12.97
127.446	127.446	364	360	12.9857
159.458	159.458	369	356	12.9983
147.724	147.724	364	366	13.0118
160.011	240.016	357	371	13.0243
187.889	187.889	364	365	13.0403
133.389	133.389	280	367	13.0553
133.642	200.463	358	371	13.0702
213.03	142.02	362	375	13.0843
126.778	126.778	364	366	13.1001
197.886	131.924	357	366	13.1152
133.15	133.15	358	366	13.1378
158.315	158.315	353	361	13.1504
167.769	251.653	354	366	13.1623
205.987	137.324	354	363	13.1769
127.658	191.488	279	370	13.1926
173.926	260.889	356	362	13.2041
114.712	114.712	279	364	13.2215
156.972	235.457	356	360	13.2342
124.929	187.394	354	361	13.2502
133.127	133.127	357	363	13.2653
135.81	135.81	357	357	13.28
197.102	197.102	355	351	13.2952
136.036	136.036	355	350	13.3099
195.109	130.073	355	357	13.3253
200.762	133.841	351	352	13.3402
126.976	126.976	358	351	13.356
105.115	105.115	360	347	13.375
243.66	162.44	359	349	13.3873
125.463	188.194	353	352	13.4033
191.501	127.668	349	356	13.4189
214.138	142.759	350	360	13.4329
129.461	194.192	353	364	13.4484
143.673	143.673	356	359	13.4623
169.927	113.284	358	367	13.48
246.848	246.848	357	369	13.4921
123.159	184.739	355	365	13.5084
143.565	143.565	361	366	13.5223
133.998	133.998	364	364	13.5372
197.576	197.576	368	365	13.5524
164.57	164.57	372	366	13.5706
132.616	132.616	378	362	13.5857
235.752	157.168	381	358	13.5984
224.937	149.958	383	365	13.6118
253.317	168.878	384	356	13.6236
128.607	192.91	377	347	13.6392
111.216	166.824	372	355	13.6571
234.662	234.662	370	355	13.6699
131.093	131.093	361	364	13.6852
201.331	201.331	353	362	13.7001
133.318	133.318	354	365	13.7151
134.647	134.647	358	370	13.7299
130.124	130.124	371	364	13.7453
188.424	125.616	370	370	13.7612
95.3209	95.3209	369	375	13.7822
148.82	223.231	377	373	13.7957
224.029	224.029	372	372	13.809
213.996	142.664	364	369	13.8231
132.249	132.249	360	355	13.8382
140.686	211.029	366	356	13.8524
126.106	126.106	371	355	13.8683
143.162	143.162	369	351	13.8822
132.785	132.785	362	359	13.8973
125.464	125.464	369	364	13.9132
157.394	157.394	375	366	13.9323
230.857	153.905	361	362	13.9453
133.542	133.542	367	368	13.9603
87.7222	87.7222	365	360	13.9831
248.501	248.501	367	363	13.9951
213.56	213.56	369	365	14.0092
242.572	161.714	365	371	14.0216
137.911	137.911	363	360	14.0361
133.127	133.127	358	365	14.0511
132.126	132.126	361	364	14.0662
132.754	132.754	363	371	14.0813
203.086	135.39	370	369	14.0961
125.861	188.792	374	372	14.1119
98.8519	98.8519	361	365	14.1322
134.532	201.797	356	369	14.147
189.04	126.027	346	365	14.1629
90.7631	90.7631	276	368	14.185
141.147	211.721	352	363	14.1991
167.83	111.886	351	365	14.217
157.115	235.672	356	372	14.2297
135.152	90.1015	350	368	14.2519
98.3961	98.3961	357	358	14.2722
142.207	142.207	361	350	14.2863
175.376	87.6881	358	352	14.3091
177.786	118.524	363	345	14.326
152.847	152.847	353	353	14.3391
199.822	199.822	354	348	14.3491
196.658	196.658	277	353	14.3593
179.576	119.717	359	359	14.376
152.245	228.367	360	359	14.3891
135.919	203.879	353	356	14.4038
130.421	130.421	270	357	14.4192
141.518	141.518	354	363	14.4333
127.641	191.461	348	364	14.449
133.955	133.955	348	358	14.4639
196.592	196.592	348	369	14.4791
141.396	141.396	355	364	14.4933
127.507	191.26	354	362	14.509
196.471	130.98	357	364	14.5242
133.167	199.75	369	360	14.5393
200.116	133.41	375	356	14.5543
213.015	213.015	383	361	14.573
157.82	157.82	379	354	14.5857
141.578	141.578	385	358	14.5998
190.788	190.788	381	358	14.6103
153.845	153.845	384	368	14.6233
126.965	190.448	372	372	14.6391
212.68	141.787	375	359	14.6532
126.734	190.101	370	367	14.669
142.051	142.051	361	366	14.683
130.617	195.925	367	370	14.6983
144.027	144.027	363	365	14.7122
118.41	177.615	367	364	14.7291
207.206	138.137	287	354	14.7436
129.427	129.427	373	356	14.7591
119.198	79.4651	372	353	14.7842
171.815	171.815	364	351	14.7959
141.187	211.781	362	352	14.81
206.677	206.677	365	357	14.8245
135.442	135.442	368	354	14.8393
200.377	133.585	377	357	14.8543
124.202	186.303	370	358	14.8704
134.176	134.176	363	359	14.8853
135.583	135.583	362	363	14.9
131.686	197.529	376	381	14.9152
122.096	183.144	378	379	14.9316
138.669	138.669	390	387	14.946
197.904	131.936	395	391	14.9612
136.133	90.7554	398	388	14.9832
182.096	182.096	395	402	14.9997
163.498	163.498	390	397	15.0119
195.956	130.637	382	395	15.0272
134.879	134.879	378	384	15.0421
119.075	178.612	290	382	15.0589
222.321	148.214	371	376	15.0724
179.39	179.39	364	369	15.0891
140.444	140.444	369	368	15.1033
190.843	127.229	360	358	15.119
130.009	130.009	358	358	15.1344
197.523	131.682	361	357	15.1496
145.8	145.8	350	353	15.1633
88.5352	88.5352	352	350	15.1859
141.132	141.132	349	356	15.2001
131.762	131.762	343	351	15.2153
133.387	133.387	342	277	15.2303
132.819	132.819	351	357	15.2453
135.331	135.331	349	361	15.2601
197.413	197.413	359	362	15.2753
126.283	126.283	284	367	15.2911
134.059	134.059	364	363	15.3061
193.21	128.807	363	362	15.3216
127.417	127.417	364	357	15.3373
203.045	135.363	366	364	15.3521
185.342	148.274	361	342	15.379
202.616	202.616	362	334	15.3889
290.882	193.921	353	333	15.3992
118.572	118.572	353	328	15.4161
154.363	154.363	343	333	15.429
292.726	292.726	340	332	15.4393
189.06	126.04	340	342	15.4552
138.725	138.725	339	338	15.4696
170.268	170.268	339	339	15.4813
135.021	135.021	354	340	15.4961
132.829	132.829	282	355	15.5112
134.917	134.917	366	350	15.526
196.32	130.88	373	357	15.5413
135.934	135.934	374	366	15.556
105.933	105.933	374	362	15.5749
223.418	223.418	364	358	15.5883
143.542	143.542	357	349	15.6022
112.114	112.114	346	333	15.6201
5647	5618	346	339
5649	5619	346	335
5650	5620	348	336
5652	5622	253	312
5652	5623	185	236
5653	5623	279	175
5654	5624	199	164
5654	5625	147	123
5654	5625	114	167
5655	5625	129	112
5655	5625	129	77
5654	5625	-79	59
5654	5625	-73	55
5653	5624	-82	50
5652	5624	-107	-46
5652	5623	-85	-46
5651	5622	-102	-133
5651	5622	-93	-104
5650	5621	-123	-154
5650	5621	-123	-123
5650	5621	-95	-153
5649	5620	-92	-110
5649	5620	-80	-90
5649	5620	-74	-82
5649	5619	-65	-111
5649	5619	-54	-73
5649	5619	-51	-68
5649	5619	-49	-63
5649	5619	-42	-53
5649	5619	-39	-48
5649	5619	-37	-46
5649	5619	-36	-44
5649	5619	-35	-42
5649	5619	-30	-37
5649	5619	-29	-34
5649	5619	-25	-28
5649	5619	-24	-28
5649	5619	-23	-26
5649	5619	-23	-25
5648	5619	-25	-25
